Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
121,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,5.41,1146,"[""[0]"", ""0"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969415548.545,,X
122,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,13.699,1147,,,,,6928969415602.988,,X
123,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,7.704,1148,"[""""]",,[[1]],[[512]],6928969415606.886,,X
124,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,4.368,1149,"[""""]",,[[1]],[[512]],6928969415609.683,,X
125,4097251,cpu_op,0,"[""float""]",detach,4097061,2.132,1150,"[""""]",,[[1]],[[512]],6928969415611.57,,X
126,4097251,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,4097061,11.598,1151,,,,,6928969415624.192,,X
127,4097251,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,4097061,5.224,1152,"[""""]",,[[1]],[[512]],6928969415628.377,,X
128,4097251,cpu_op,0,"[""float""]",aten::detach,4097061,3.075,1153,"[""""]",,[[1]],[[512]],6928969415630.125,,X
129,4097251,cpu_op,0,"[""float""]",detach,4097061,1.359,1154,"[""""]",,[[1]],[[512]],6928969415631.492,,X
130,4097251,cpu_op,0,,autograd::engine::evaluate_function: ConvolutionBackward0,4097061,3044.117,1155,,195,,,6928969415642.905,1,X
131,4097251,cpu_op,0,"[""float""]",ConvolutionBackward0,4097061,3020.319,1156,"[""""]",195,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969415646.143,1,X
