Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
120,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,9.038,17017,"[""""]",5204,"[[2048, 1]]","[[50, 2048]]",6939565491222.554,1,X
121,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,5.655,17018,"["""", ""[50, 1, 2048]""]",,"[[2048, 1], []]","[[50, 2048], []]",6939565491225.466,,X
122,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,1.949,17019,"["""", ""[50, 1, 2048]""]",,"[[2048, 1], []]","[[50, 2048], []]",6939565491228.567,,X
123,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeDropoutBackward0,122891,55.244,17020,,5203,,,6939565491245.769,1,X
124,125589,cpu_op,0,"[""float""]",NativeDropoutBackward0,122891,43.569,17021,"[""""]",5203,"[[2048, 2048, 1]]","[[50, 1, 2048]]",6939565491249.462,1,X
125,125589,cpu_op,0,"[""float"", ""bool"", ""Scalar""]",aten::native_dropout_backward,122891,39.689,17022,"["""", """", ""1.1111111111111112""]",,"[[2048, 2048, 1], [2048, 2048, 1], []]","[[50, 1, 2048], [50, 1, 2048], []]",6939565491252.535,,X
126,125589,cpu_op,0,"[""float"", """", """", """", """", ""Scalar""]",aten::empty_like,122891,13.315,17023,"["""", """", """", """", """", ""0""]",,"[[2048, 2048, 1], [], [], [], [], []]","[[50, 1, 2048], [], [], [], [], []]",6939565491256.609,,X
127,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,9.336,17024,"[""[50, 1, 2048]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565491259.635,,X
128,125589,cpu_op,0,,autograd::engine::evaluate_function: ReluBackward0,122891,107.561,17025,,5202,,,6939565491312.148,1,X
129,125589,cpu_op,0,"[""float""]",ReluBackward0,122891,95.66,17026,"[""""]",5202,"[[2048, 2048, 1]]","[[50, 1, 2048]]",6939565491315.784,1,X
130,125589,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::threshold_backward,122891,65.532,17027,"["""", """", ""0""]",,"[[2048, 2048, 1], [2048, 2048, 1], []]","[[50, 1, 2048], [50, 1, 2048], []]",6939565491344.487,,X
131,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,17.786,17028,,5201,,,6939565491430.805,1,X
132,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,9.932,17029,"[""""]",5201,"[[2048, 2048, 1]]","[[50, 1, 2048]]",6939565491434.426,1,X
133,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,6.028,17030,"["""", ""[50, 2048]""]",,"[[2048, 2048, 1], []]","[[50, 1, 2048], []]",6939565491437.839,,X
134,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,2.665,17031,"["""", ""[50, 2048]""]",,"[[2048, 2048, 1], []]","[[50, 1, 2048], []]",6939565491440.664,,X
135,125589,cpu_op,0,,autograd::engine::evaluate_function: AddmmBackward0,122891,240.042,17032,,5200,,,6939565491457.788,1,X
136,125589,cpu_op,0,"[""float""]",AddmmBackward0,122891,167.39,17033,"[""""]",5200,"[[2048, 1]]","[[50, 2048]]",6939565491461.361,1,X
137,125589,cpu_op,0,"[""float""]",aten::t,122891,9.66,17034,"[""""]",,"[[1, 512]]","[[512, 2048]]",6939565491464.984,,X
138,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,5.151,17035,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 2048], [], []]",6939565491467.78,,X
139,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.258,17036,"["""", ""[2048, 512]"", ""[512, 1]"", """"]",,"[[1, 512], [], [], []]","[[512, 2048], [], [], []]",6939565491471.045,,X
